"appId","settingId","appName","title","description","default","type","enum","enumLabels","minimum","maximum","oneOf","multipleOf","schema"
"com.freedomscientific.jaws","Braille.UseScreenModelForBrailleInRichEdits","JAWS","Use Screen Model for Braille in Rich Edits","Whether to use the screen model when providing field prompts and text in Braille with rich edits.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Use Screen Model for Braille in Rich Edits"",""description"":""Whether to use the screen model when providing field prompts and text in Braille with rich edits."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","Braille.WordWrap","JAWS","Enable Word Wrap","Whether or not to allow words to be split in order to maximize the use of the braille display. Ignored if panning is set to fixed increment.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Enable Word Wrap"",""description"":""Whether or not to allow words to be split in order to maximize the use of the braille display. Ignored if panning is set to fixed increment."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","FSCasts.EnableNotifications","JAWS","FSCast Notifications","Whether to have JAWS display a dialog when new podcasts from Freedom Scientific are available.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""FSCast Notifications"",""description"":""Whether to have JAWS display a dialog when new podcasts from Freedom Scientific are available."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","HTML.Abbreviations","JAWS","Abbreviations","Whether to expand abbreviations.  If this is enabled, abbreviations with a title attribute will have their title read instead of the on screen text.",0,"number","[0,1]","[""off"",""on""]",,,,,"{""title"":""Abbreviations"",""description"":""Whether to expand abbreviations.  If this is enabled, abbreviations with a title attribute will have their title read instead of the on screen text."",""type"":""number"",""default"":0,""enum"":[0,1],""enumLabels"":[""off"",""on""]}"
"com.freedomscientific.jaws","HTML.AccessKeys","JAWS","Speak Access Keys Within Web Page","Whether to announce HTML element access keys when reading a web page.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Speak Access Keys Within Web Page"",""description"":""Whether to announce HTML element access keys when reading a web page."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","HTML.Acronyms","JAWS","Acronyms","If this is enabled, acronyms with a title attribute will have their title read instead of the on screen text.",0,"number","[0,1]","[""off"",""on""]",,,,,"{""title"":""Acronyms"",""description"":""If this is enabled, acronyms with a title attribute will have their title read instead of the on screen text."",""type"":""number"",""default"":0,""enum"":[0,1],""enumLabels"":[""off"",""on""]}"
"com.freedomscientific.jaws","HTML.BlockQuoteIndication","JAWS","Block Quote Indication","Whether to indicate HTML block quotations.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Block Quote Indication"",""description"":""Whether to indicate HTML block quotations."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","HTML.EmbeddedActiveXSupport","JAWS","Embedded ActiveX Support","Whether or not to support embedded ActiveX controls such as Macromedia Flash Movies.  If enabled, only objects defined in JActiveX.ini are affected by this setting.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Embedded ActiveX Support"",""description"":""Whether or not to support embedded ActiveX controls such as Macromedia Flash Movies.  If enabled, only objects defined in JActiveX.ini are affected by this setting."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","HTML.ExpandAbbreviations","JAWS","Expand Abbreviations","Whether or not to expand abbreviations (using the abbr tag).",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Expand Abbreviations"",""description"":""Whether or not to expand abbreviations (using the abbr tag)."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","HTML.ExpandAcronyms","JAWS","Expand Acronyms","Whether or not to expand acronyms (using the acronym tag).",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Expand Acronyms"",""description"":""Whether or not to expand acronyms (using the acronym tag)."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","HTML.FilterConsecutiveDuplicateLinks","JAWS","Filter Consecutive Duplicate Links","Whether to skip (not announce) consecutive duplicate links.",1,"number","[0,1]","[""off"",""on""]",,,,,"{""title"":""Filter Consecutive Duplicate Links"",""description"":""Whether to skip (not announce) consecutive duplicate links."",""type"":""number"",""default"":1,""enum"":[0,1],""enumLabels"":[""off"",""on""]}"
"com.freedomscientific.jaws","HTML.FormFieldPromptOptions","JAWS","Form Field Prompt Options","Which attributes to prefer when describing form fields.",0,,"[0,1,2,3,4,5]","[""favor label tag"",""favor title attribute"",""favor alt attribute"",""favor longest"",""use both label and title if different"",""use both label and alt if different""]",,,,,"{""title"":""Form Field Prompt Options"",""description"":""Which attributes to prefer when describing form fields."",""enum"":[0,1,2,3,4,5],""enumLabels"":[""favor label tag"",""favor title attribute"",""favor alt attribute"",""favor longest"",""use both label and title if different"",""use both label and alt if different""],""default"":0}"
"com.freedomscientific.jaws","HTML.FormsModeAutoOff","JAWS","Forms Mode Auto Off","Whether or not Forms Mode should be automatically turned off when the current page is updated.",1,,"[0,1]","[""Leave Forms Mode on"",""Turn Forms Mode off automatically""]",,,,,"{""title"":""Forms Mode Auto Off"",""description"":""Whether or not Forms Mode should be automatically turned off when the current page is updated."",""enum"":[0,1],""enumLabels"":[""Leave Forms Mode on"",""Turn Forms Mode off automatically""],""default"":1}"
"com.freedomscientific.jaws","HTML.GraphicalLinkLastResort","JAWS","Graphical Link Last Resort","What to announce when a graphical link contains no title or alt text for its enclosing image and the enclosing anchor has no title.",0,,"[0,1]","[""Read the image's src"",""Read the image's enclosing anchor's href.""]",,,,,"{""title"":""Graphical Link Last Resort"",""description"":""What to announce when a graphical link contains no title or alt text for its enclosing image and the enclosing anchor has no title."",""enum"":[0,1],""enumLabels"":[""Read the image's src"",""Read the image's enclosing anchor's href.""],""default"":0}"
"com.freedomscientific.jaws","HTML.IdentifyLinkType","JAWS","Identify Link Type","Whether to distinguish the various types of links e.g. ""FTP link"", ""mailto link"" versus simply announcing ""link"" for all types of links.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Identify Link Type"",""description"":""Whether to distinguish the various types of links e.g. \""FTP link\"", \""mailto link\"" versus simply announcing \""link\"" for all types of links."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","HTML.IdentifySamePageLinks","JAWS","Identify Same Page Links","Whether to identify links that point to other places on the current page by saying ""same page link"".",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Identify Same Page Links"",""description"":""Whether to identify links that point to other places on the current page by saying \""same page link\""."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","HTML.IgnoreInlineFrames","JAWS","Ignore Inline Frames","Whether to ignore inline frames, such as those used for advertising.",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Ignore Inline Frames"",""description"":""Whether to ignore inline frames, such as those used for advertising."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","HTML.IncludeGraphics","JAWS","Include Graphics","Whether/when to include graphics in web pages.",1,,"[0,1,2]","[""never include graphics"",""include graphics that have labels, i.e. alt=attributes"",""include all graphics""]",,,,,"{""title"":""Include Graphics"",""description"":""Whether/when to include graphics in web pages."",""enum"":[0,1,2],""enumLabels"":[""never include graphics"",""include graphics that have labels, i.e. alt=attributes"",""include all graphics""],""default"":1}"
"com.freedomscientific.jaws","HTML.IndicateColSpan","JAWS","Indicate ColSpan for Braille","Whether to announce column spans when reading table data in web pages.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Indicate ColSpan for Braille"",""description"":""Whether to announce column spans when reading table data in web pages."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","HTML.IndicateElementAttributes","JAWS","Indicate Element Attributes","Whether to announce any HTML attributes defined in the ""HTML Attributes Behavior"" map of the current scheme.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Indicate Element Attributes"",""description"":""Whether to announce any HTML attributes defined in the \""HTML Attributes Behavior\"" map of the current scheme."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","HTML.ListIndication","JAWS","List Indication","Whether to announce lists with the item count and nesting level.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""List Indication"",""description"":""Whether to announce lists with the item count and nesting level."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","HTML.MaxLineLength","JAWS","Max Line Length","The maximum number of characters which can appear on a line of a paragraph.",150,"integer",,,,,,,"{""title"":""Max Line Length"",""description"":""The maximum number of characters which can appear on a line of a paragraph."",""type"":""integer"",""default"":150}"
"com.freedomscientific.jaws","HTML.PageRefreshFilter","JAWS","Page Refresh Filter","How often, in milliseconds, to allow all refreshes.  Set to 0 to allow all refreshes without any delay.",0,"integer",,,,,,,"{""title"":""Page Refresh Filter"",""description"":""How often, in milliseconds, to allow all refreshes.  Set to 0 to allow all refreshes without any delay."",""type"":""integer"",""default"":0}"
"com.freedomscientific.jaws","HTML.SayAllOnDocumentLoad","JAWS","Read Web Pages Automatically When Loaded","Whether to automatically read web pages when they're first loaded.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Read Web Pages Automatically When Loaded"",""description"":""Whether to automatically read web pages when they're first loaded."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","HTML.ScreenFollowsVCursor","JAWS","Screen Follows Virtual Cursor","Whether the screen should automatically scroll to display the line on which the Virtual Cursor is positioned.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Screen Follows Virtual Cursor"",""description"":""Whether the screen should automatically scroll to display the line on which the Virtual Cursor is positioned."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","HTML.SkipPastRepeatedText","JAWS","Skip Past Repeated Text","Whether to position the Virtual Cursor on the first line which is different than the previous page whenever a new page is displayed.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Skip Past Repeated Text"",""description"":""Whether to position the Virtual Cursor on the first line which is different than the previous page whenever a new page is displayed."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","HTML.SmartNavigation","JAWS","Smart Navigation","Whether to enable ""smart navigation"" when reading web pages.",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Smart Navigation"",""description"":""Whether to enable \""smart navigation\"" when reading web pages."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","HTML.TableDetection","JAWS","Table Detection","Whether to announce all tables, or only data tables.",1,,"[0,1]","[""Indicate all tables"",""Only indicate data tables""]",,,,,"{""title"":""Table Detection"",""description"":""Whether to announce all tables, or only data tables."",""enum"":[0,1],""enumLabels"":[""Indicate all tables"",""Only indicate data tables""],""default"":1}"
"com.freedomscientific.jaws","HTML.TblMaxCellTextLength","JAWS","Table Maximum Cell Text Length","A cell is considered a valid data cell if it contains upto this number of characters.",250,"integer",,,,,,,"{""title"":""Table Maximum Cell Text Length"",""description"":""A cell is considered a valid data cell if it contains upto this number of characters."",""type"":""integer"",""default"":250}"
"com.freedomscientific.jaws","HTML.TblMinCellTextLength","JAWS","Table Minimum Cell Text Length","A cell is considered a valid data cell if it contains at least this number of characters.",1,"integer",,,,,,,"{""title"":""Table Minimum Cell Text Length"",""description"":""A cell is considered a valid data cell if it contains at least this number of characters."",""type"":""integer"",""default"":1}"
"com.freedomscientific.jaws","HTML.TblMinTextColumns","JAWS","Table Minimum Text Columns","This option specifies the minimum number of columns which must contain text in order for the table to be considered a data table.",2,"integer",,,,,,,"{""title"":""Table Minimum Text Columns"",""description"":""This option specifies the minimum number of columns which must contain text in order for the table to be considered a data table."",""type"":""integer"",""default"":2}"
"com.freedomscientific.jaws","HTML.TblMinTextRows","JAWS","Table Minimum Text Rows","This option specifies the minimum number of rows which must contain text in order for the table to be considered a data table.",2,"integer",,,,,,,"{""title"":""Table Minimum Text Rows"",""description"":""This option specifies the minimum number of rows which must contain text in order for the table to be considered a data table."",""type"":""integer"",""default"":2}"
"com.freedomscientific.jaws","HTML.TblMinValidDataRows","JAWS","Table Minimum Valid Data Rows","Next options used for configuring how data tables are detected This option specifies the minimum number of valid data rows that a table must contain in order for it to be considered a data table.",2,"integer",,,,,,,"{""title"":""Table Minimum Valid Data Rows"",""description"":""Next options used for configuring how data tables are detected This option specifies the minimum number of valid data rows that a table must contain in order for it to be considered a data table."",""type"":""integer"",""default"":2}"
"com.freedomscientific.jaws","HTML.TblValidRowThreshold","JAWS","Table Valid Row Threshold","This option specifies the minimum number of cells that a row must contain in order for it to be considered a valid data row.",2,"integer",,,,,,,"{""title"":""Table Valid Row Threshold"",""description"":""This option specifies the minimum number of cells that a row must contain in order for it to be considered a valid data row."",""type"":""integer"",""default"":2}"
"com.freedomscientific.jaws","HTML.TextBlockLength","JAWS","Text Block Length","The number of consecutive characters that must appear in a web page for JAWS to treat this as a block of text.",25,"integer",,,,,,,"{""title"":""Text Block Length"",""description"":""The number of consecutive characters that must appear in a web page for JAWS to treat this as a block of text."",""type"":""integer"",""default"":25}"
"com.freedomscientific.jaws","HTML.UseLegacyIESupport","JAWS","Use Legacy IE Support","Whether or not to use legacy IE support instead of the default FS Dom Server support.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Use Legacy IE Support"",""description"":""Whether or not to use legacy IE support instead of the default FS Dom Server support."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","HTML.WrapNavigation","JAWS","Wrap Navigation","Whether or not to allow navigation keystrokes such as tab and shift tab to wrap to the top or bottom of the document.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Wrap Navigation"",""description"":""Whether or not to allow navigation keystrokes such as tab and shift tab to wrap to the top or bottom of the document."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","Options.AllCapsIndicator","JAWS","AllCapsIndicator","The text to read before text that appears in all capital letters.","all cap","string",,,,,,,"{""title"":""AllCapsIndicator"",""description"":""The text to read before text that appears in all capital letters."",""type"":""string"",""default"":""all cap""}"
"com.freedomscientific.jaws","Options.AllowMouseEchoWhenMuted","JAWS","Allow Mouse Echo","Whether to echo mouse movement when otherwise muted.",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Allow Mouse Echo"",""description"":""Whether to echo mouse movement when otherwise muted."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","Options.AllowSpeechOnDemandWhenMuted","JAWS","Allow Reading Commands","Whether to allow speech on demand when otherwise muted.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Allow Reading Commands"",""description"":""Whether to allow speech on demand when otherwise muted."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","Options.AllowTypingEchoWhenMuted","JAWS","Allow Typing Echo","Whether to echo typed keys when otherwise muted.",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Allow Typing Echo"",""description"":""Whether to echo typed keys when otherwise muted."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","Options.AllowWebAppReservedKeystrokes","JAWS","Allow Webapp-reserved Keystrokes","When both JAWS and a website such as Facebook support a key shortcut, whether to handle the key in JAWS (the default) or pass the key to the web app.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Allow Webapp-reserved Keystrokes"",""description"":""When both JAWS and a website such as Facebook support a key shortcut, whether to handle the key in JAWS (the default) or pass the key to the web app."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","Options.AnnounceMultilineEdit","JAWS","Announce Multiline Edit Controls","Whether to announce multi-line edit controls.",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Announce Multiline Edit Controls"",""description"":""Whether to announce multi-line edit controls."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","Options.CapIndicator","JAWS","Cap Indicator","The text to read before a capital letter.","cap","string",,,,,,,"{""title"":""Cap Indicator"",""description"":""The text to read before a capital letter."",""type"":""string"",""default"":""cap""}"
"com.freedomscientific.jaws","Options.CaretBlinkRate","JAWS","Caret Blink Rate","How fast the caret blinks, in milliseconds.",53,"integer",,,1,,,,"{""title"":""Caret Blink Rate"",""description"":""How fast the caret blinks, in milliseconds."",""type"":""integer"",""default"":53,""minimum"":1}"
"com.freedomscientific.jaws","Options.CaretDetect","JAWS","Caret Detect","How many cursor blinks are used to locate the caret.",1,"integer",,,1,,,,"{""title"":""Caret Detect"",""description"":""How many cursor blinks are used to locate the caret."",""type"":""integer"",""default"":1,""minimum"":1}"
"com.freedomscientific.jaws","Options.CaretDetectTimeOut","JAWS","Caret Detect Timeout","The number of milliseconds before JAWS for Windows will give up looking for the caret.",250,"integer",,,0,,,,"{""title"":""Caret Detect Timeout"",""description"":""The number of milliseconds before JAWS for Windows will give up looking for the caret."",""type"":""integer"",""default"":250,""minimum"":0}"
"com.freedomscientific.jaws","OSM.CaretTimeOut","JAWS","Caret Time Out","The time in milliseconds to wait before redrawing the caret.",1000,"integer",,,,,,,"{""title"":""Caret Time Out"",""description"":""The time in milliseconds to wait before redrawing the caret."",""type"":""integer"",""default"":1000}"
"com.freedomscientific.jaws","Options.Case","JAWS","Case","Whether to indicate the case of spoken text with a change of inflection.",1,"number","[0,1]","[""off"",""on""]",,,,,"{""title"":""Case"",""description"":""Whether to indicate the case of spoken text with a change of inflection."",""type"":""number"",""default"":1,""enum"":[0,1],""enumLabels"":[""off"",""on""]}"
"com.freedomscientific.jaws","Options.confirmWhenExitingJAWS","JAWS","Confirm when Exiting JAWS","Whether or not to present a confirmation menu when exiting JAWS.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Confirm when Exiting JAWS"",""description"":""Whether or not to present a confirmation menu when exiting JAWS."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
